PUSH-UP STANDARDS FOR MALES AGED 14-17,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
110,< 1,12,36,64,97
120,< 1,13,36,64,94
130,< 1,14,36,62,91
140,< 1,15,36,61,89
150,< 1,15,36,59,86
160,1,16,35,58,84
170,2,16,35,57,82
180,3,16,34,56,80
190,3,16,34,55,77
200,3,16,33,53,76
210,3,16,32,52,74
220,3,16,32,51,72
230,3,16,31,50,70
240,3,15,30,49,69
250,3,15,30,48,67
260,3,15,30,47,65
270,3,15,29,46,64
280,3,14,29,44,63
290,3,14,28,44,61
300,3,14,27,43,60
310,3,13,27,42,58
,,,,,
PUSH-UP STANDARD FOR MALES AGED 18-23,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
110,< 1,14,40,73,109
120,< 1,15,40,72,106
130,< 1,16,40,70,103
140,< 1,17,40,69,100
150,< 1,17,40,67,97
160,1,18,39,66,95
170,2,18,39,65,92
180,3,18,38,63,90
190,3,18,38,62,87
200,3,18,37,60,85
210,4,18,36,59,83
220,4,18,36,58,81
230,4,18,35,56,79
240,4,17,34,55,77
250,4,17,34,54,75
260,4,17,33,53,74
270,4,17,32,52,72
280,4,16,32,50,71
290,4,16,31,49,69
300,4,16,30,48,68
310,4,15,30,47,66
,,,,,
PUSH-UP STANDARDS FOR MALES AGED 24-39,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
110,< 1,14,41,74,111
120,< 1,15,41,73,108
130,< 1,16,41,71,105
140,< 1,17,41,70,102
150,< 1,17,41,68,99
160,1,18,40,67,97
170,2,18,40,66,94
180,3,18,39,64,92
190,3,18,39,63,89
200,3,18,38,61,87
210,4,18,37,60,85
220,4,18,37,59,83
230,4,18,36,57,81
240,4,17,35,56,79
250,4,17,35,55,77
260,4,17,34,54,75
270,4,17,33,53,73
280,4,16,33,51,72
290,4,16,32,50,70
300,4,16,31,49,69
310,4,15,31,48,67
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
PUSH-UP STANDARDS FOR MALES AGED 40-49,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
110,< 1,13,39,70,105
120,< 1,14,39,69,103
130,< 1,15,39,67,100
140,< 1,16,39,67,97
150,< 1,16,39,65,94
160,1,17,38,64,92
